,number,title,isSolved,level,attempt
0,1271,엄청난 부자2,True,1,12735
1,1330,두 수 비교하기,True,1,133054
2,2338,긴자리 계산,True,1,10223
3,2420,사파리월드,True,1,15947
4,2438,별 찍기 - 1,True,1,131022
5,2475,검증수,True,1,32722
6,2738,행렬 덧셈,True,1,15201
7,2739,구구단,True,1,137916
8,2741,N 찍기,True,1,115776
9,2743,단어 길이 재기,False,1,23308
10,2744,대소문자 바꾸기,False,1,11408
11,2753,윤년,True,1,120647
12,2754,학점계산,False,1,11241
13,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰",False,1,38859
14,4101,크냐?,False,1,12843
15,4999,아!,False,1,8142
16,5337,웰컴,False,1,12606
17,5338,마이크로소프트 로고,False,1,14709
18,5339,콜센터,False,1,10709
19,5522,카드 게임,False,1,11270
20,5597,과제 안 내신 분..?,False,1,24196
21,7287,등록,True,1,46778
22,8393,합,True,1,119311
23,9086,문자열,False,1,11071
24,9498,시험 성적,True,1,141510
25,9653,스타워즈 로고,False,1,11386
26,9654,나부 함대 데이터,False,1,9910
27,10171,고양이,True,1,130170
28,10172,개,True,1,128458
29,10430,나머지,True,1,135595
30,10699,오늘 날짜,True,1,18764
31,10757,큰 수 A+B,False,1,34082
32,10807,개수 세기,False,1,26528
33,10809,알파벳 찾기,True,1,74373
34,10869,사칙연산,True,1,152820
35,10871,X보다 작은 수,True,1,107247
36,10872,팩토리얼,True,1,62516
37,11382,꼬마 정민,False,1,15634
38,11654,아스키 코드,True,1,83218
39,11718,그대로 출력하기,True,1,38032
40,11942,고려대는 사랑입니다,False,1,13371
41,13277,큰 수 곱셈,False,1,5816
42,14581,팬들에게 둘러싸인 홍준,False,1,3791
43,14645,와이버스 부릉부릉,False,1,8343
44,14652,나는 행복합니다~,False,1,5477
45,14681,사분면 고르기,True,1,101170
46,14928,큰 수 (BIG),False,1,4502
47,15727,조별과제를 하려는데 조장이 사라졌다,False,1,6154
48,15733,나는 누구인가,False,1,7646
49,15962,새로운 시작,False,1,7721
50,15964,이상한 기호,True,1,8939
51,16170,오늘의 날짜는?,False,1,5703
52,16394,홍익대학교,False,1,8348
53,16430,제리와 톰,False,1,7391
54,17256,달달함이 넘쳐흘러,False,1,4627
55,17295,엔드게임 스포일러,False,1,5806
56,18108,1998년생인 내가 태국에서는 2541년생?!,False,1,61843
57,20492,세금,False,1,5093
58,24262,알고리즘 수업 - 알고리즘의 수행 시간 1,False,1,2972
59,24900,한별 찍기,False,1,3593
60,25083,새싹,False,1,36907
61,25238,가희와 방어율 무시,False,1,2815
62,25304,영수증,False,1,26823
63,25311,UCPC에서 가장 쉬운 문제 번호는?,False,1,2380
64,25314,코딩은 체육과목 입니다,False,1,6636
65,25372,성택이의 은밀한 비밀번호,False,1,2720
66,27294,몇개고?,False,1,1225
67,27433,팩토리얼 2,False,1,790
68,27434,팩토리얼 3,False,1,488
69,1264,모음의 개수,False,2,6696
70,2083,럭비 클럽,False,2,3044
71,2439,별 찍기 - 2,True,2,119469
72,2440,별 찍기 - 3,True,2,49101
73,2480,주사위 세개,False,2,52939
